[56.58821235 48.39962971 35.00821438] [73.45001485 51.87629811 22.44768981]
[56.58821235 48.39962971 35.00821438] [73.45001485 51.87629811 22.44768981]
[56.58821235 48.39962971 35.00821438] [73.45001485 51.87629811 22.44768981]
(6168, 0)
(0, 8919)
(8925, 21449)
[ 90.80960591 143.16789443  58.09021476] [ 81.09742909 153.23044688  68.09270282]
[ 90.80960591 143.16789443  58.09021476] [ 81.09742909 153.23044688  68.09270282]
[ 90.80960591 143.16789443  58.09021476] [ 81.09742909 153.23044688  68.09270282]
(21455, 0)
(0, 12551)
(12545, 15274)
[204.92881224  15.7075816  163.82337185] [194.83053522  27.63187506 185.02060654]
[204.92881224  15.7075816  163.82337185] [ -1.45833123  27.63187506 185.02060654]
[204.92881224  15.7075816  163.82337185] [194.83053522  27.63187506 185.02060654]
(15268, 0)
(0, 19342)
(19348, 1114)
[ 35.90643223 153.62125802  78.55215135] [27.92159743  5.90203017 53.0577608 ]
[ 35.90643223 153.62125802  78.55215135] [ 27.92159743 202.19089662  53.0577608 ]
[ 35.90643223 153.62125802  78.55215135] [ 27.92159743 202.19089662  53.0577608 ]
(1120, 0)
(0, 11655)
(11649, 22218)
[37.25886252 51.5749947  62.40562549] [ 4.41437648 82.59413169 55.7129603 ]
[37.25886252 51.5749947  62.40562549] [200.70324293  82.59413169  55.7129603 ]
[37.25886252 51.5749947  62.40562549] [ 4.41437648 82.59413169 55.7129603 ]
(22212, 0)
(0, 14049)
(14043, 17199)
[ 16.05081231 181.79911366 131.97766245] [  7.93844864   7.00947232 173.54104476]
[ 16.05081231 181.79911366 131.97766245] [204.22731509 203.29833877 173.54104476]
[ 16.05081231 181.79911366 131.97766245] [  7.93844864 203.29833877 173.54104476]
(17193, 0)
(0, 1554)
(1548, 13112)
[ 51.51336    167.7664226  100.71414582] [ 47.58581607 155.34997406  68.33217523]
[ 51.51336    167.7664226  100.71414582] [ 47.58581607 155.34997406  68.33217523]
[ 51.51336    167.7664226  100.71414582] [ 47.58581607 155.34997406  68.33217523]
(13118, 0)
(0, 5776)
(5782, 4593)
[ 29.05889512 -23.12567776 -10.67860816] [  3.06921476 192.74300312 168.96849562]
[ 29.05889512 -23.12567776 -10.67860816] [  3.06921476  -3.54586333 168.96849562]
[ 29.05889512 -23.12567776 -10.67860816] [  3.06921476  -3.54586333 -27.32037083]
(4599, 0)
(0, 20426)
(20420, 15799)
[ 87.52530059 197.29749369  47.47707204] [ 42.31251567 180.42842851  36.00202491]
[ 87.52530059 197.29749369  47.47707204] [ 42.31251567 180.42842851  36.00202491]
[ 87.52530059 197.29749369  47.47707204] [ 42.31251567 180.42842851  36.00202491]
(15793, 0)
(0, 12985)
(12979, 8379)
[153.67896694  78.10618305  76.26518977] [180.58035609  78.1670326   62.59386651]
[153.67896694  78.10618305  76.26518977] [-15.70851036  78.1670326   62.59386651]
[153.67896694  78.10618305  76.26518977] [180.58035609  78.1670326   62.59386651]
(8373, 0)
(0, 20126)
(20132, 8982)
[ 51.29606823 202.62571571 104.34961192] [ 27.92827125 192.55181777  82.05315958]
[ 51.29606823 202.62571571 104.34961192] [ 27.92827125 192.55181777  82.05315958]
[ 51.29606823 202.62571571 104.34961192] [ 27.92827125 192.55181777  82.05315958]
(8988, 0)
(0, 12208)
(12202, 3914)
[139.00362613 134.93102473  18.36462621] [170.91057766  94.61584332 172.5654891 ]
[139.00362613 134.93102473  18.36462621] [-25.37828879  94.61584332 172.5654891 ]
[139.00362613 134.93102473  18.36462621] [170.91057766  94.61584332 -23.72337735]
(3920, 0)
(0, 4502)
(4508, 5097)
[105.77545424 178.27612109 101.3844723 ] [ 78.8986012  193.42667724  92.03621503]
[105.77545424 178.27612109 101.3844723 ] [ 78.8986012  193.42667724  92.03621503]
[105.77545424 178.27612109 101.3844723 ] [ 78.8986012  193.42667724  92.03621503]
(5103, 0)
(0, 17465)
(17459, 14896)
[27.24302682 51.72770744 80.22041043] [67.02292849  8.16408269 51.57224666]
[27.24302682 51.72770744 80.22041043] [67.02292849  8.16408269 51.57224666]
[27.24302682 51.72770744 80.22041043] [67.02292849  8.16408269 51.57224666]
recal chain
recal chain
recal chain
